text,label
we love to eat travel cook and eat some more we create & photograph vegetarian recipe from our home in chicago while our shiba pup eat the kale stem that fall on the kitchen floor,0
these will work for me great flavor for the cauliflower much more tasty than raw cauliflower so thank you,0
while the cauliflower cook make the buffalo sauce my recipe is a simple combination of frank’s red hot sauce melted butter garlic powder paprika and honey and it’s really easy to stir together,0
your email address will not be published required field are marked,0
while the cauliflower cook make the buffalo sauce my recipe is a simple combination of frank’s red hot sauce melted butter garlic powder paprika and honey and it’s really easy to stir together,0
⅔ cup all-purpose flour spooned and leveled ¼ cup cornstarch 1 teaspoon garlic powder 1 teaspoon onion powder 1 teaspoon paprika ½ teaspoon sea salt ¾ cup water 1 head cauliflower about 2 pound broken into large floret buffalo sauce for brushing vegan ranch for dipping optional,1
preheat the air fryer to 400°f in a large bowl whisk together the flour cornstarch garlic powder onion powder paprika and salt add the water and whisk until smooth add the cauliflower and stir to coat lift the cauliflower floret out of the batter allowing any excess batter to drip back into the bowl arrange in a single layer in the air fryer basket leaving a little space around each floret don’t crowd the basket work in batch a necessary air fry for 9 minute remove from the air fryer and use a spatula to carefully flip the floret brush with some of the buffalo sauce air fry for another 5 to 10 minute or until the cauliflower is dark and crisp around the edge remove from the air fryer and brush with additional buffalo sauce if desired serve with vegan ranch for dipping,2
then you’ll make a batter out of all-purpose flour cornstarch paprika garlic powder onion powder salt and water the cornstarch is the secret to getting the cauliflower nice and crisp,0
i don’t have an air fryer could i just bake these,0
to make this air fryer buffalo cauliflower recipe you’ll start by breaking a head of cauliflower into large floret,0
find the complete recipe with measurement below,0
to make this air fryer buffalo cauliflower recipe you’ll start by breaking a head of cauliflower into large floret,0
4 tablespoon extra-virgin olive oil 1½ pound mixed mushroom chopped ¾ teaspoon sea salt plus more to taste freshly ground black pepper 1 medium yellow onion chopped 2 garlic clove finely chopped 1 tablespoon fresh thyme leaf 1½ cup uncooked arborio rice rinsed ⅔ cup dry white wine 5 cup warmed vegetable broth ½ cup grated pecorino or parmesan cheese plus more for serving chopped fresh parsley for garnish,1
heat 2 tablespoon of the olive oil in a dutch oven or large deep skillet over medium heat add the mushroom ½ teaspoon of the salt and several grind of pepper and toss to coat cook stirring only occasionally for 8 minute or until soft and browned remove from the pan and set aside work in batch if necessary wipe out the pan and return it to the heat add the remaining 2 tablespoon olive oil the onion and the remaining ¼ teaspoon sea salt cook stirring occasionally for 5 to 8 minute or until softened stir in the garlic thyme and rice let cook for 1 minute then add the wine stir and cook for 1 to 3 minute or until the wine cook down add the broth ¾ cup at a time stirring constantly and allowing each addition of broth to be absorbed before adding the next with the final addition of broth stir two-thirds of the sautéed mushroom into the risotto cook until the risotto is creamy and the rice ha a slight al dente bite stir in the cheese and season to taste top with the remaining sautéed mushroom garnish with parsley and serve with more grated cheese if desired,2
we love to eat travel cook and eat some more we create & photograph vegetarian recipe from our home in chicago while our shiba pup eat the kale stem that fall on the kitchen floor,0
you could make this mushroom risotto recipe with just cremini mushroom and it would come out delicious but if you want to take it to the next level experiment with a mix of variety i have these type in the photo above,0
you could make this mushroom risotto recipe with just cremini mushroom and it would come out delicious but if you want to take it to the next level experiment with a mix of variety i have these type in the photo above,0
if you love this mushroom risotto try one of these date night dinner next,0
i just bought some mushroom thinking i”d sautee them this is a better idea thank you,0
3 jalapeño pepper 2 left whole 1 sliced in half crosswise 1 garlic clove unpeeled 1½ cup thick whole milk greek yogurt 1 teaspoon onion powder 1 teaspoon sea salt plus more for sprinkling heaping ¼ teaspoon smoked paprika ½ cup panko breadcrumb 1½ teaspoon extra-virgin olive oil plus more for drizzling ½ cup grated sharp cheddar cheese chopped chive for garnish tortilla chip for serving,1
preheat the oven broiler and line a baking sheet with foil place the 2 whole jalapeños and 1 of the jalapeño half on the baking sheet drizzle with olive oil and sprinkle with salt wrap the garlic clove in a piece of foil with a drizzle of olive oil and place on the baking sheet broil for 10 to 15 minute or until the jalapeños are soft and blistering remove from the oven and set aside to cool when the jalapeños are cool to the touch use your hand wearing glove if desired to peel and remove the loose skin slice the pepper in half and remove the seed and membrane finely chop the pepper remove the garlic from it paper and use the back of a chef’s knife to mash it into a paste in a medium bowl stir together the yogurt onion powder salt smoked paprika garlic and roasted jalapeños in a small bowl toss the panko with the olive oil transfer the yogurt mixture to a small skillet or baking dish top with the cheese and sprinkle with the panko broil for 1 to 5 minute or until the topping is golden brown the timing will depend on your broiler remove from the oven thinly slice the remaining jalapeño half and sprinkle the slice over the dip top with chive and serve with tortilla chip,2
homemade salsa you only need 10 ingredient and 10 minute to make a batch of this refreshing salsa,0
french onion dip silky caramelized onion pack this dip with amazing savory umami flavor,0
peach salsa look for me in august and you’ll probably find me mixing up a batch of this fruity salsa the peach make it incredibly juicy and sweet if i have any left over after a party or gathering i pile it onto a rice bowl the next day,0
white bean dip pulse in fresh basil or rosemary for an herbaceous twist on this simple dip,0
peach salsa look for me in august and you’ll probably find me mixing up a batch of this fruity salsa the peach make it incredibly juicy and sweet if i have any left over after a party or gathering i pile it onto a rice bowl the next day,0
extra-virgin olive oil for the pan 2 cup diced red bell pepper about 2 medium ½ cup chopped scallion 9 large egg 1 garlic clove grated heaping ½ teaspoon sea salt freshly ground black pepper 3 tablespoon all-purpose flour ¾ teaspoon baking powder ⅓ cup crumbled feta cheese,1
preheat the oven to 350°f grease a nonstick muffin tin with olive oil and evenly divide the pepper and scallion among the muffin cup in a large bowl whisk the egg add the garlic salt and several grind of pepper then sprinkle the flour and baking powder on top whisk well to combine it’s ok if a few clump of flour remain in the mixture divide the egg mixture evenly into the muffin cup you’ll use about a scant ¼ cup in each one sprinkle the feta on top bake for 22 to 24 minute or until the egg are set let cool before removing from the pan,2
we love to eat travel cook and eat some more we create & photograph vegetarian recipe from our home in chicago while our shiba pup eat the kale stem that fall on the kitchen floor,0
thank you for the article jeanine the recipe is really gonna help me to make muffin because my dog love them,0
nutrition info would be most welcomed thanks,0
could you sub just egg,0
let me know what variation you try,0
10 ounce pappardelle pasta 2 tablespoon extra-virgin olive oil plus more for drizzling ½ medium yellow onion diced 1 medium carrot finely chopped 8 ounce cremini mushroom stemmed and finely chopped 3 garlic clove chopped ½ teaspoon sea salt freshly ground black pepper 1 teaspoon balsamic vinegar 1 teaspoon tamari 1½ cup cooked green or french green lentil from ½ cup dry 24 ounce marinara sauce ½ cup parmesan cheese or vegan parmesan for serving fresh parsley for garnish,1
bring a large pot of salted water to a boil and prepare the pasta according to the package instruction cooking until al dente drain and toss with a drizzle of olive oil to prevent sticking set aside heat the olive oil in a large skillet over medium heat add the onion and carrot and cook stirring occasionally for 5 to 8 minute or until softened add the mushroom garlic salt and several grind of pepper and cook for another 5 to 8 minute stirring occasionally or until the mushroom are tender stir in the balsamic and tamari then add the lentil and marinara cook stirring for 2 minute or until the sauce is well-combined and heated through add the pasta to the skillet and toss to combine portion onto plate and serve with parmesan and fresh parsley for garnish,2
here’s what you’ll need to make this lentil pasta recipe,0
delicious satisfied both my meat eater and my vegan,0
…and serve with parsley and parmesan cheese,0
enjoy,0
though this lentil pasta recipe is full of italian flavor marinara balsamic parmesan it’s not a take on any specific italian pasta dish rather it’s something i love to cook when i want a hearty flavorful pasta dinner but i don’t want to go to the store or spend hour in the kitchen this lentil pasta recipe come together with basic pantry ingredient and you can have it on the table in right around 30 minute i think you’re going to love it,0
2 tablespoon extra-virgin olive oil plus more for drizzling 2 tablespoon unsalted butter or an additional 2 tablespoon olive oil 2 medium yellow onion chopped 2 medium carrot chopped 6 garlic clove chopped 2 tablespoon balsamic vinegar 2 28-ounce can diced tomato 3 cup water or vegetable broth 1⅓ cup full-fat coconut milk or heavy cream plus more for drizzling 1 teaspoon dried thyme ½ teaspoon red pepper flake 1 teaspoon sea salt plus more to taste freshly ground black pepper fresh basil leaf for garnish,1
heat the olive oil and butter in a large pot over medium heat add the onion carrot garlic and a pinch of salt and cook stirring occasionally for 8 minute or until softened stir in the vinegar then add the tomato water coconut milk thyme red pepper flake salt and several grind of pepper simmer stirring occasionally for 20 to 25 minute or until the carrot are tender scoop 4 cup of the soup out of the pot and set aside transfer the remaining soup to a blender puree until smooth return the pureed soup to the pot with the reserved 4 cup of chunky soup stir to combine and season to taste ladle into bowl and serve with a drizzle of coconut milk a drizzle of olive oil freshly ground black pepper and fresh basil leaf for garnish,2
so glad you loved it,0
delicious i love the addition of balsamic vinegar for sweetness and tang but i’m convinced the carrot are the showstopper i loved the texture and balance they gave i had some cream to use up this time but can’t wait to try it with coconut milk next time,0
when you’re ready to eat top your bowl with a swirl of olive oil a drizzle of coconut milk or heavy cream lot of fresh black pepper and fresh basil enjoy the soup with a side of crusty bread or top it with homemade crouton for crunch and of course you can’t beat pairing it with a grilled cheese sandwich,0
this homemade tomato soup recipe is so simple to make here’s how it go,0
such a healthy n comforting soup a must try recipe very delicious,0
2 slice sourdough bread mayonnaise dijon mustard 1 to 2 ounce grated sharp cheddar cheese depending on the size of your bread 1 to 2 ounce grated gruyère or raclette cheese depending on the size of your bread butter for the pan,1
place the bread slice on a cutting board and spread the top side with a thin layer of mayo flip one slice of bread and spread it other side with dijon mustard layer the cheddar and gruyère or raclette cheese on top of the mustard then place the other slice of bread on top of the cheese mayo side out heat a nonstick or cast-iron skillet over medium-low heat and melt enough butter in the bottom of the pan to coat it place the sandwich in the pan cover and cook for 2 to 3 minute or until the bottom slice of bread is golden brown and crisp flip replace the lid and cook until the other slice of bread is golden brown and the cheese is melted 1 to 3 minute reduce the heat to low if the bread is getting too brown before the cheese is fully melted slice and serve,2
hi yurika i’m so glad you loved it,0
if you’re wondering how to make a grilled cheese sandwich jack’s your guy he make one so often that we have a dedicated grilled cheese pan in our kitchen it’s seen a million grilled cheese experiment in it day–mayo on the bread or softened butter american cheese or swiss–all of which have helped him work out what in our opinion is the best grilled cheese recipe it’s incredibly simple but it yield an undeniably crave-able sandwich this grilled cheese is crisp and golden on the outside and deliciously melty in the middle see that cheese pull up there tomato soup for serving is optional but highly recommended,0
your email address will not be published required field are marked,0
that sound amazing,0
comment,0
2 tablespoon rice vinegar 2 tablespoon tamari 2 teaspoon toasted sesame oil 2 teaspoon avocado oil 8 ounce shiitake mushroom stemmed and sliced 1 large carrot diced ¼ teaspoon sea salt 2 garlic clove chopped 1 tablespoon chopped fresh ginger ¼ cup chopped kimchi 1 small head of cauliflower riced 1 bunch scallion chopped 2 egg beaten ½ cup frozen edamame 1½ teaspoon fresh lime juice fried egg for topping optional sesame seed for garnish microgreens for garnish sriracha for serving,1
in a small bowl mix together the rice vinegar tamari and sesame oil set aside heat the avocado oil in a large nonstick skillet over medium heat add the mushroom carrot and salt and cook stirring occasionally for 8 minute or until softened stir in the garlic ginger and kimchi then add the cauliflower rice and scallion and stir to combine make a well in the center of the pan and pour in the egg stir to scramble then mix the scrambled egg into the fried rice add the tamari mixture and the edamame and cook until the edamame is heated through turn off the heat stir in the lime juice and season to taste portion the cauliflower fried rice onto plate and top with fried egg if desired garnish with sesame seed and microgreens and serve with sriracha on the side,2
find the complete recipe with measurement below,0
i made this today and we really enjoyed it i will also have it for lunch tomorrow i have one small question though could you add to the recipe the amount of cauliflower in cup i think this would ensure the right balance between the ingredient thank you,0
i made this today and we really enjoyed it i will also have it for lunch tomorrow i have one small question though could you add to the recipe the amount of cauliflower in cup i think this would ensure the right balance between the ingredient thank you,0
that’s it,0
do you by chance have an estimate of calorie per serving the dish,0
1 large egg 1 teaspoon extra-virgin olive oil or small pat of butter sea salt and freshly ground black pepper,1
crack the egg into a small bowl or ramekin heat the olive oil in a nonstick or well-seasoned cast-iron skillet over medium heat and swirl to coat the bottom of the pan carefully pour in the egg and reduce the heat to low cook uncovered for 1 minute then cover and cook until the white are just set 2 to 3 minute for an over easy egg carefully flip the fried egg and cook until the white are fully set about 15 second longer for an over medium or over hard egg transfer to a plate and season to taste with salt and pepper,2
reduce the heat to low and carefully add the egg let it cook for 1 minute then cover the pan and cook for another 2 to 3 minute or until the egg white are set,0
cooking a perfect fried egg is easy…but it’s also easy to mess up a fried egg might stick to the pan it might come out closer to over-hard than over-easy or–worst of all–its yolk might break a you attempt to flip it i’ve made all these mistake over the year while they were disappointing in the moment they paid off in the long run each one taught me a valuable lesson about how to fry an egg and over time i’ve worked out a foolproof fried egg recipe which i’m sharing below,0
how do you like your fried egg sunny side up over easy over medium or over hard,0
this simplest way to serve fried egg is on their own paired with toast breakfast potato andor fresh fruit they’re a classic american breakfast,0
comment,0
sautéed spinach andor mushroom soft boiled egg or poached egg chopped scallion avocado slice microgreens hot sauce lemon wedge,1
heat the olive oil in a small saucepan over medium heat add the shallot and cook until softened about 2 minute add the oat and garlic and stir to coat in the oil then add the water and salt and bring to a boil reduce the heat and simmer stirring occasionally for 15 to 20 minute or until the oat are thick and creamy but still have a slight bite season to taste with salt and pepper remove from the heat and portion into bowl top with the sautéed vegetable egg scallion avocado and microgreens serve with drizzle of hot sauce and a squeeze of lemon juice,2
we love to eat travel cook and eat some more we create & photograph vegetarian recipe from our home in chicago while our shiba pup eat the kale stem that fall on the kitchen floor,0
to infuse the oat with savory umami depth of flavor i cook them with shallot and garlic i start by sautéing some finely chopped shallot in olive oil in medium saucepan,0
comment,0
savory oatmeal can be a bit time-consuming to make on busy morning but if you like you can prep it ahead cook the oat in advance portion them into meal prep container and store them in the fridge for up to 3 day reheat on the stove or in the microwave and top with your desired topping just before you eat,0
to infuse the oat with savory umami depth of flavor i cook them with shallot and garlic i start by sautéing some finely chopped shallot in olive oil in medium saucepan,0
2 teaspoon extra-virgin olive oil 1 garlic clove chopped 5 ounce spinach ¼ teaspoon sea salt lemon wedge for squeezing freshly ground black pepper,1
heat the olive oil in a large skillet over medium heat add the garlic and cook for 30 second or until fragrant but not at all browned add the spinach and salt and cook tossing for 1 to 2 minute or until the spinach is just wilted remove from the heat and season to taste with lemon juice and freshly ground black pepper,2
this sautéed spinach recipe is a delicious side dish for any meal pair it with a pasta like fettuccine alfredo or homemade mac and cheese with a hearty soup like black bean soup or chili or with a simply cooked protein like crispy sesame tofu,0
comment,0
heat the olive oil in a large skillet over medium heat add the garlic and cook until fragrant about 30 second then add the spinach and salt and cook stirring until the spinach is just wilted 1 to 2 minute remove the pan from the heat and toss the green with a squeeze of lemon then season to taste with salt and pepper that’s it,0
how do you like to serve sauteed spinach let me know in the comment,0
your email address will not be published required field are marked,0
¼ cup extra-virgin olive oil plus more for drizzling 1 medium yellow onion chopped 1 medium carrot chopped 2 celery rib chopped 2 garlic clove chopped 1 tablespoon chopped fresh rosemary 1 teaspoon sea salt plus more to taste ½ teaspoon dried thyme freshly ground black pepper 4½ cup cooked white bean drained and rinsed 4 cup vegetable broth 6 cup chopped kale leaf 2 tablespoon fresh lemon juice homemade crouton for serving fresh parsley for garnish,1
heat the olive oil in a large pot or dutch oven over medium heat add the onion carrot celery garlic rosemary salt thyme and several grind of pepper cook for 8 minute stirring occasionally or until softened add the bean and broth simmer for 20 minute transfer half the soup to a blender and blend until smooth stir the puree back into the pot and add the kale and lemon juice cook stirring until the kale is wilted about 5 minute if the soup is too thick stir in water ½ cup at a time until it reach your desired consistency season to taste i usually add another ¼ teaspoon salt at this point and serve with a drizzle of olive oil crouton and fresh parsley for garnish,2
great set of soup ingredient love the use of white bean to make it creamy a you write instead of cream i even like kale so thank you,0
i used mayacoba bean for the blending i removed 12 of the solid and used my “boat motor” in the pot served with a drizzle of olive oil and balsamic vinegar delish,0
i am always looking for new way to include kale in our family meal it’s not a favorite green of everyone’s but it is super healthy i think our family might just go for this version i can almost imagine making the broth into a sauce and serving over pasta shell or maybe rice do you have any suggestion for a similar revision that might make a pasta topping,0
absolutely thee best kale soup i’ve come across also made your potato leek soup both s good and will definitely make again,0
first sauté the aromatics heat a big glug of olive oil in a dutch oven or large soup pot over medium heat then add onion carrot celery garlic rosemary thyme salt and several grind of pepper cook until the veggie are soft and fragrant 8 minute or so,0
3 cup cooked brown or white rice 2 tablespoon rice vinegar 1 tablespoon cane sugar 1 teaspoon sea salt 1 recipe baked tofu 2 avocado sliced 2 ripe mango diced 2 persian cucumber thinly sliced 2 scallion thinly sliced pickled ginger pickled radish optional thinly sliced nori or seaweed snack for garnish sesame seed for garnish microgreens for garnish spicy mayo for serving,1
while the rice is still warm toss it with the rice vinegar cane sugar and salt divide among 4 bowl and top with the baked tofu avocado mango cucumber scallion pickled ginger and pickled radish if using garnish with nori sesame seed and microgreens and serve with spicy mayo,2
when i feel like eating sushi but i don’t feel like making sushi i make this sushi bowl recipe instead it’s easy to put together no rolling required but it still capture all the taste and texture i crave in a good veggie sushi roll creamy avocado play off sticky seasoned rice which in turn contrast with crisp cooling cucumber and crackly nori i add ripe mango for a hit of sweetness baked tofu for protein and big drizzle of spicy mayo for richness and heat i like to prep the component ahead of time and enjoy this sushi bowl for a midweek lunch but it also make a fun refreshing dinner,0
let me know what variation you try,0
hi sarah i’m so glad you loved it a much a we did,0
this is such an amazing recipe thank you for sharing this,0
if you love this sushi bowl recipe try one of these yummy grain bowl next,0
½ cup mayonnaise 2 tablespoon sriracha 1 teaspoon fresh lime juice ⅛ teaspoon toasted sesame oil,1
in a small bowl stir together the mayonnaise sriracha lime juice and sesame oil taste and adjust a desired use a a sauce for these sushi bowl this vegan sushi or your favorite sushi recipe find more serving suggestion in the post above,2
notify me of follow-up comment via e-mail,0
notify me of follow-up comment via e-mail,0
you need this spicy mayo recipe in your life creamy and tangy with a delicious kick this simple condiment livens up sushi taco and more,0
it would be hard to overstate how much i love spicy mayo maybe you can relate it’s creamy it’s zingy it’s full of fiery spice how could you not want to eat it on sushi let alone taco veggie burger or a side of french fry,0
notify me of follow-up comment via e-mail,0
1 cup frozen spinach or kale ½ frozen banana ½ tablespoon almond butter 1 to 2 cup peeled and frozen orange segment or frozen pineapple or mango chunk ½ teaspoon chia seed optional 1 cup almond milk plus more a needed to blend handful of ice,1
in a blender place the spinach banana almond butter 1 cup frozen fruit and chia seed if using add the almond milk and blend until smooth adding more almond milk a needed to blend add the ice and blend again taste and add more frozen fruit if you’d like your smoothie to be sweeter blend until smooth adding more almond milk a needed,2
this a really good i don’t freeze the spinach but i used 12 cup frozen mango and 12 cup frozen pineapple and add 1 scoop of plant based vanilla protein powder so good i’ve made it quite a few time already,0
i’m so glad you’ve enjoyed it,0
your email address will not be published required field are marked,0
all of your smoothy have banana i’m allergic is there another option,0
all of your smoothy have banana i’m allergic is there another option,0
4 cup 32 ounce marinara sauce 2 cup 16 ounce ricotta cheese 2 garlic clove minced 1 tablespoon lemon zest 1 teaspoon oregano ¼ teaspoon red pepper flake ¾ teaspoon sea salt more for the pasta water freshly ground black pepper 1 pound ziti pasta extra-virgin olive oil for drizzling 1 pound fresh spinach 1½ cup smoked mozzarella cheese ¼ cup grated pecorino or parmesan cheese,1
preheat the oven to 425°f spread ½ cup marinara in the bottom of a 9x13-inch baking dish in a medium bowl combine the ricotta cheese garlic lemon zest oregano red pepper flake ½ teaspoon salt and several grind of fresh pepper in a large pot of salted boiling water cook the pasta according to package direction until al dente drain return the pot back to the stove over low heat drizzle the bottom of the pot with a little olive oil and add the spinach toss and sauté 1 to 2 minute until just wilted working in batch if necessary turn off the heat remove the spinach from the pot and gently squeeze out some of the excess water coarsely chop it and set aside add the pasta back to the pot along with the remaining marinara most of the chopped spinach ¼ teaspoon sea salt and more fresh pepper and toss until combined add half the pasta to the baking dish top with dollop of the ricotta the remaining spinach and scoop the remaining pasta on top top with the mozzarella and pecorino cheese drizzle with olive oil and bake until the cheese is browned 16 to 22 minute garnish with fresh basil or parsley and serve hot,2
these healthy dinner recipe put veggie at the center of the plate,0
